INFO:root:Epoch 40: {'accuracy': 0.5538949370384216, 'loss': 1.0578246116638184, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.084463357925415}
INFO:root:Epoch 41: {'accuracy': 0.554347813129425, 'loss': 1.0579763650894165, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0777522325515747}
INFO:root:Epoch 42: {'accuracy': 0.5534420013427734, 'loss': 1.0575627088546753, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.0812915563583374}
WARNING:absl:You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. 
INFO:root:Epoch 1: {'accuracy': 0.554347813129425, 'loss': 1.065926432609558, 'val_accuracy': 0.5162601470947266, 'val_loss': 1.0689646005630493}
INFO:root:Epoch 2: {'accuracy': 0.5561594367027283, 'loss': 1.065996766090393, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.0660617351531982}
INFO:root:Epoch 3: {'accuracy': 0.5566123127937317, 'loss': 1.0666898488998413, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0697544813156128}
INFO:root:Epoch 4: {'accuracy': 0.5525362491607666, 'loss': 1.0652810335159302, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0725270509719849}
INFO:root:Epoch 5: {'accuracy': 0.5557065010070801, 'loss': 1.0651386976242065, 'val_accuracy': 0.5162601470947266, 'val_loss': 1.077149748802185}
INFO:root:Epoch 6: {'accuracy': 0.5525362491607666, 'loss': 1.0647295713424683, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0682283639907837}
INFO:root:Epoch 7: {'accuracy': 0.5584239363670349, 'loss': 1.0643963813781738, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0801877975463867}
INFO:root:Epoch 8: {'accuracy': 0.5525362491607666, 'loss': 1.065781593322754, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.076301097869873}
INFO:root:Epoch 9: {'accuracy': 0.5511775612831116, 'loss': 1.0638659000396729, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0720442533493042}
INFO:root:Epoch 10: {'accuracy': 0.551630437374115, 'loss': 1.0670249462127686, 'val_accuracy': 0.5162601470947266, 'val_loss': 1.0710498094558716}
INFO:root:Epoch 11: {'accuracy': 0.5566123127937317, 'loss': 1.0646162033081055, 'val_accuracy': 0.5162601470947266, 'val_loss': 1.0694692134857178}
INFO:root:Epoch 12: {'accuracy': 0.5538949370384216, 'loss': 1.0628024339675903, 'val_accuracy': 0.5162601470947266, 'val_loss': 1.0751041173934937}
INFO:root:Epoch 13: {'accuracy': 0.5552536249160767, 'loss': 1.0615195035934448, 'val_accuracy': 0.5162601470947266, 'val_loss': 1.0752754211425781}
INFO:root:Epoch 14: {'accuracy': 0.5557065010070801, 'loss': 1.0634146928787231, 'val_accuracy': 0.5203251838684082, 'val_loss': 1.0810375213623047}
INFO:root:Epoch 15: {'accuracy': 0.551630437374115, 'loss': 1.0631345510482788, 'val_accuracy': 0.5162601470947266, 'val_loss': 1.0755184888839722}
INFO:root:Epoch 16: {'accuracy': 0.551630437374115, 'loss': 1.0637563467025757, 'val_accuracy': 0.5243902206420898, 'val_loss': 1.0817654132843018}
INFO:root:Epoch 17: {'accuracy': 0.5548007488250732, 'loss': 1.0647538900375366, 'val_accuracy': 0.5162601470947266, 'val_loss': 1.0747815370559692}
